Track Name,Artists,Album Cover URL
Sk8er Boi,Avril Lavigne,https://i.scdn.co/image/ab67616d0000b273f7ec724fbf97a30869d06240
Complicated,Avril Lavigne,https://i.scdn.co/image/ab67616d0000b273f7ec724fbf97a30869d06240
Guillotine IV (the Final Chapter),Falling In Reverse,https://i.scdn.co/image/ab67616d0000b2737e8348f7c8b04198b1858757
Whatsername,Green Day,https://i.scdn.co/image/ab67616d0000b2739079e678be6b947cc2b3b5c6
"Dear Maria, Count Me In",All Time Low,https://i.scdn.co/image/ab67616d0000b273c8913cd7b91bb7f6bbbec305
You Oughta Know - 2015 Remaster,Alanis Morissette,https://i.scdn.co/image/ab67616d0000b273242e643ea07118ecf677a6ef
Hard Times,Paramore,https://i.scdn.co/image/ab67616d0000b273dbd83e179619408e5d05cc99
Say It Ain't So - Original Mix,Weezer,https://i.scdn.co/image/ab67616d0000b273345536847e60f622ee0eae96
Decode,Paramore,https://i.scdn.co/image/ab67616d0000b273b236d0eae2659e7e7adb8b56
Still into You,Paramore,https://i.scdn.co/image/ab67616d0000b273532033d0d90736f661c13d35
Misery Business,Paramore,https://i.scdn.co/image/ab67616d0000b27369966efa45b125ed6711b43c
Brain Stew,Green Day,https://i.scdn.co/image/ab67616d0000b273ac9a652335cf34de9a65292a
I'm Not Okay (I Promise),My Chemical Romance,https://i.scdn.co/image/ab67616d0000b273cab7ae4868e9f9ce6bdfdf43
I Write Sins Not Tragedies,Panic! At The Disco,https://i.scdn.co/image/ab67616d0000b273e8b923caee478adf4a5b56de
Backslide,Twenty One Pilots,https://i.scdn.co/image/ab67616d0000b2739cf15c7323fb85b7112197d5
The Chicken in Black,Johnny Cash,https://i.scdn.co/image/ab67616d0000b2734abe713eb149aa4ce2bd74d6
Heart Of Gold,Johnny Cash,https://i.scdn.co/image/ab67616d0000b273b905a2b99e3510c2fd7d07c2
Linger,The Cranberries,https://i.scdn.co/image/ab67616d0000b273f6325f361d7803ad0d908451
Sparks,Coldplay,https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a
Head Over Heels,ABBA,https://i.scdn.co/image/ab67616d0000b27342678f54dfd1d5afb3eea19a
Yellow,Coldplay,https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a
It Never Rains in Southern California,Albert Hammond,https://i.scdn.co/image/ab67616d0000b2737a26b62978e61d5068164a63
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Johann Sebastian Bach, Yo-Yo Ma",https://i.scdn.co/image/ab67616d0000b273cbb64bd416bb225456100bbc
You're So Vain,Carly Simon,https://i.scdn.co/image/ab67616d0000b2731af9e8390e2d251b916d9185
Summer Dress,"R Plus, Dido",https://i.scdn.co/image/ab67616d0000b27301919c26cad182059c274112
Come Together,"Urbandawn, Tyson Kelly",https://i.scdn.co/image/ab67616d0000b2730e6eef738f3239ea6bdc7be3
